unitdur,percentage,participant_id,mean_yes,std_yes,sum_yes,n_trial
0.4,0.0,1,0.08943089430894309,0.2865318361649869,11,123
0.4,0.0,3,0.3888888888888889,0.4894441291460707,49,126
0.4,0.0,4,0.45217391304347826,0.4998855704299009,52,115
0.4,0.0,5,0.008064516129032258,0.08980265101338744,1,124
0.4,0.0,6,0.056910569105691054,0.2326191923678487,7,123
0.4,0.0,7,0.031746031746031744,0.17602308650892073,4,126
0.4,0.0,9,0.15873015873015872,0.36688305303348995,20,126
0.4,0.0,10,0.0,0.0,0,124
0.4,0.0,11,0.19658119658119658,0.3991222317164005,23,117
0.4,0.0,12,0.01652892561983471,0.12802806166228853,2,121
0.4,0.0,13,0.184,0.38904349205413713,23,125
0.4,0.0,14,0.01652892561983471,0.12802806166228853,2,121
0.4,0.0,15,0.125,0.3323204676270836,13,104
0.4,0.0,17,0.032,0.17670825235854976,4,125
0.4,0.0,18,0.39814814814814814,0.4917984317514384,43,108
0.4,0.0,20,0.2857142857142857,0.4535573676110726,36,126
0.4,0.0,21,0.46153846153846156,0.5006626908143594,54,117
0.4,0.0,24,0.025423728813559324,0.15807952162954786,3,118
0.4,0.0,25,0.007936507936507936,0.08908708063747478,1,126
0.4,0.0,27,0.30952380952380953,0.4641428351580701,39,126
0.4,0.0,28,0.024793388429752067,0.15614149124834245,3,121
0.4,0.0,29,0.04504504504504504,0.2083435705920474,5,111
0.4,0.0,30,0.06557377049180328,0.24855632476172143,8,122
0.4,0.0,31,0.05555555555555555,0.22997584414213787,7,126
0.4,0.0,34,0.024,0.1536649056414849,3,125
0.4,0.0,35,0.373015873015873,0.48553684900945643,47,126
0.4,0.0,36,0.192,0.39545808472478283,24,125
0.4,0.111,1,0.07692307692307693,0.2773500981126145,1,13
0.4,0.111,3,0.2857142857142857,0.4688072309384954,4,14
0.4,0.111,4,0.5384615384615384,0.5188745216627708,7,13
0.4,0.111,5,0.0,0.0,0,14
0.4,0.111,6,0.08333333333333333,0.28867513459481287,1,12
