participant_id,percentage,unitdur,correct,sum_correct,median_ncycle,median_rt
1,0.0,0.4,0,0,13.887594938278198,5.555037975311279
1,0.0,0.4,1,112,10.31493365764618,4.125973463058472
1,0.0,0.7,0,0,8.422107696533203,5.895475387573242
1,0.0,0.7,1,111,5.854284422738212,4.097999095916748
1,0.0,1.0,0,0,5.830493450164795,5.830493450164795
1,0.0,1.0,1,111,4.154990196228027,4.154990196228027
1,0.111,0.4,0,0,14.098660051822662,5.639464020729065
1,0.111,0.4,1,1,12.549995183944702,5.019998073577881
1,0.111,0.7,0,0,7.202853645597186,5.04199755191803
1,0.111,0.7,1,2,8.995771408081055,6.297039985656738
1,0.111,1.0,0,0,4.152483940124512,4.152483940124512
1,0.222,0.4,0,0,10.2250075340271,4.09000301361084
1,0.222,0.4,1,3,9.145054817199707,3.658021926879883
1,0.222,0.7,0,0,6.093532017299108,4.265472412109375
1,0.222,1.0,0,0,3.2560149431228638,3.2560149431228638
1,0.333,0.4,0,0,11.97377860546112,4.789511442184448
1,0.333,0.4,1,10,8.90752762556076,3.563011050224304
1,0.333,0.7,0,0,6.1571420942034045,4.309999465942383
1,0.333,0.7,1,4,9.023152249200004,6.316206574440002
1,0.333,1.0,0,0,5.444525480270386,5.444525480270386
1,0.333,1.0,1,2,5.212501287460327,5.212501287460327
1,0.444,0.4,0,0,13.337528705596924,5.3350114822387695
1,0.444,0.4,1,10,6.833924055099487,2.733569622039795
1,0.444,0.7,0,0,5.602949176515852,3.922064423561096
1,0.444,1.0,0,0,4.024018049240112,4.024018049240112
1,0.444,1.0,1,3,7.325995922088623,7.325995922088623
1,0.556,0.4,0,0,9.120084643363953,3.648033857345581
1,0.556,0.4,1,11,8.259992599487305,3.303997039794922
1,0.556,0.7,0,0,6.118575164249965,4.283002614974976
1,0.556,0.7,1,8,7.878593036106655,5.515015125274658
1,0.556,1.0,0,0,4.981531500816345,4.981531500816345
1,0.556,1.0,1,6,6.176023483276367,6.176023483276367
1,0.667,0.4,1,14,5.315066277980804,2.1260265111923218
1,0.667,0.7,0,0,7.670696462903704,5.369487524032593
1,0.667,0.7,1,10,5.3357715266091486,3.735040068626404
1,0.667,1.0,0,0,4.287999987602234,4.287999987602234
1,0.667,1.0,1,6,5.774009466171265,5.774009466171265
1,0.778,0.4,1,14,4.241271615028381,1.6965086460113525
1,0.778,0.7,0,0,10.905781473432269,7.634047031402588
1,0.778,0.7,1,13,4.371475832802909,3.060033082962036
1,0.778,1.0,0,0,2.829007148742676,2.829007148742676
1,0.778,1.0,1,9,4.07008695602417,4.07008695602417
1,0.889,0.4,1,13,4.432497024536133,1.7729988098144531
1,0.889,0.7,0,0,2.64861992427281,1.8540339469909668
1,0.889,0.7,1,12,3.93926773752485,2.757487416267395
1,0.889,1.0,0,0,2.916023015975952,2.916023015975952
1,0.889,1.0,1,12,4.151007533073425,4.151007533073425
1,1.0,0.4,0,0,4.567360281944275,1.82694411277771
1,1.0,0.4,1,12,4.347456097602844,1.7389824390411377
1,1.0,0.7,1,12,3.4157156944274902,2.391000986099243
1,1.0,1.0,0,0,3.3825639486312866,3.3825639486312866
1,1.0,1.0,1,12,4.32402241230011,4.32402241230011
3,0.0,0.4,0,0,8.75504732131958,3.502018928527832
3,0.0,0.4,1,77,11.389947533607483,4.555979013442993
3,0.0,0.7,0,0,4.960687160491943,3.4724810123443604
3,0.0,0.7,1,80,6.872157880238125,4.810510516166687
3,0.0,1.0,0,0,3.41953706741333,3.41953706741333
3,0.0,1.0,1,86,4.9720460176467896,4.9720460176467896
3,0.111,0.4,0,0,11.205051243305206,4.4820204973220825
3,0.111,0.4,1,4,6.097451150417329,2.4389804601669316
3,0.111,0.7,0,0,7.613551446369717,5.329486012458801
3,0.111,0.7,1,6,3.877117804118565,2.7139824628829956
3,0.111,1.0,0,0,5.452559113502502,5.452559113502502
3,0.111,1.0,1,4,2.9989919662475586,2.9989919662475586
3,0.222,0.4,0,0,12.679979801177979,5.071991920471191
3,0.222,0.4,1,7,5.889995098114012,2.355998039245605
3,0.222,0.7,0,0,7.211417130061559,5.047991991043091
3,0.222,0.7,1,3,4.17006152016776,2.919043064117432
3,0.222,1.0,0,0,4.295024037361145,4.295024037361145
3,0.222,1.0,1,4,3.937115430831909,3.937115430831909
3,0.333,0.4,0,0,14.33871865272522,5.735487461090088
3,0.333,0.4,1,12,6.0888248682022095,2.435529947280884
3,0.333,0.7,0,0,5.85924574307033,4.101472020149231
3,0.333,0.7,1,6,5.6936279364994595,3.9855395555496216
